,Unnamed: 0,Unnamed: 0.1,index,REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,MZ_ENT,ID_ZONA_LOC,ID_MANZENT,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,PUEBLO,VIV_PART,VIV_COL,VPOMP,TOTAL_VIV,CANT_HOG,P01_1,P01_2,P01_3,P01_4,P01_5,P01_6,P01_7,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,MATACEP,MATREC,MATIRREC,P05_1,P05_2,P05_3,P05_4,REGION_15R,PROVINCIA_15R,COMUNA_15R,ID_MANZENT_15R,Coordenada X,Coordenada Y,Provincia Nombre,Comuna Nombre,Area,Factor_Riesgo_Manzana
0,0,0,1,8,82,8204,1,1,1,1,6559,8204011001001,78,37,41,0,0,47,14,0,6,33,0,29,33,30,31,0,0,2,0,0,0,1,0,24,4,0,0,1,0,27,1,0,0,0,28,0,1,0,0,23,6,0,29,0,0,0,8,82,8204,8204011001001,-73.23163000000002,-38.01058,ARAUCO,CONTULMO,296558,2.8000526035379254
1,1,1,2,8,82,8204,1,1,1,19,6559,8204011001019,106,47,59,4,10,70,22,0,7,46,1,40,47,40,46,0,0,0,0,0,0,0,1,26,13,0,0,0,0,40,0,0,0,0,37,0,3,0,0,24,16,0,34,2,0,3,8,82,8204,8204011001019,-73.22281,-38.008759999999995,ARAUCO,CONTULMO,352116,5.200060207431642
2,2,2,3,8,82,8204,1,1,1,20,6559,8204011001020,79,36,43,4,16,44,15,0,8,30,0,28,30,28,26,0,0,1,3,0,0,0,0,25,3,0,0,1,0,27,0,0,0,0,28,0,0,0,0,25,3,0,12,1,0,15,8,82,8204,8204011001020,-73.21495999999998,-38.0067,ARAUCO,CONTULMO,74208,4.100212915049591
3,3,3,4,8,82,8204,1,1,1,23,6559,8204011001023,120,56,64,7,16,81,16,0,16,48,0,45,48,45,47,0,0,0,1,0,0,0,0,38,6,0,1,1,0,43,1,0,0,0,42,0,3,0,0,34,10,1,36,0,0,9,8,82,8204,8204011001023,-73.21544,-38.00886,ARAUCO,CONTULMO,158642,4.800151284023147
4,4,4,5,8,82,8204,1,1,1,18,6559,8204011001018,145,79,66,8,14,108,15,0,23,60,1,50,61,50,60,0,0,0,0,0,0,0,0,46,4,0,0,3,0,46,1,0,0,0,50,0,0,0,0,45,5,0,48,0,0,2,8,82,8204,8204011001018,-73.22634000000002,-38.0112,ARAUCO,CONTULMO,284332,4.600101993444284
5,5,5,6,8,82,8204,1,1,1,21,6559,8204011001021,26,9,17,0,0,17,4,0,6,10,0,9,10,9,10,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,0,0,3,0,9,0,0,0,0,1,5,3,9,0,0,0,8,82,8204,8204011001021,-73.21469,-38.007220000000004,ARAUCO,CONTULMO,12528,1.1004150702426565
6,6,6,7,8,82,8204,1,1,1,22,6559,8204011001022,33,15,18,0,0,20,0,0,0,19,0,12,19,12,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,11,0,0,1,8,82,8204,8204011001022,-73.21661,-38.00802,ARAUCO,CONTULMO,21988,0.0003001637256685465
7,7,7,8,8,82,8204,1,1,1,24,6559,8204011001024,17,8,9,0,0,15,0,0,5,16,0,9,16,9,16,0,0,0,0,0,0,0,0,4,5,0,0,1,0,8,0,0,0,0,9,0,0,0,0,4,5,0,9,0,0,0,8,82,8204,8204011001024,-73.22026,-38.012859999999996,ARAUCO,CONTULMO,64743,5.2515329842608475e-05
8,8,8,9,8,82,8204,1,1,1,2,6559,8204011001002,51,21,30,0,0,27,16,0,0,12,1,12,13,12,12,0,0,0,0,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,12,0,0,0,8,82,8204,8204011001002,-73.2284,-38.01202,ARAUCO,CONTULMO,10186,3.2010013744354997
9,9,9,10,8,82,8204,1,1,1,3,6559,8204011001003,43,22,21,4,5,26,8,0,0,22,0,17,22,17,21,0,0,0,0,0,1,0,0,11,6,0,0,3,0,14,0,0,0,0,17,0,0,0,0,11,6,0,17,0,0,0,8,82,8204,8204011001003,-73.22844,-38.013059999999996,ARAUCO,CONTULMO,10829,2.400794163819374
10,10,10,11,8,82,8204,1,1,1,25,6559,8204011001025,29,12,17,0,0,17,7,0,5,13,0,9,13,9,13,0,0,0,0,0,0,0,0,8,1,0,0,1,0,8,0,0,0,0,9,0,0,0,0,8,1,0,8,0,0,1,8,82,8204,8204011001025,-73.22384,-38.01536,ARAUCO,CONTULMO,140791,1.4000411958150736
11,11,11,12,8,82,8204,1,1,1,7,6559,8204011001007,153,69,84,12,19,88,34,0,27,65,0,51,65,53,65,0,0,0,0,0,0,0,0,43,7,0,0,0,0,51,0,0,0,0,50,0,0,1,0,42,8,0,51,0,0,0,8,82,8204,8204011001007,-73.23149000000002,-38.01406,ARAUCO,CONTULMO,23524,9.201300799183812
12,12,12,13,8,82,8204,1,1,1,6,6559,8204011001006,36,17,19,0,0,26,5,0,0,22,0,14,22,14,22,0,0,0,0,0,0,0,0,13,1,0,0,1,0,13,0,0,0,0,14,0,0,0,0,13,1,0,14,0,0,0,8,82,8204,8204011001006,-73.22968,-38.01409,ARAUCO,CONTULMO,11241,1.000640512409928
13,13,13,14,8,82,8204,1,1,1,5,6559,8204011001005,48,26,22,7,5,27,9,0,15,15,1,15,16,15,15,0,0,0,0,0,0,0,1,11,3,0,0,4,0,11,0,0,0,0,14,0,1,0,0,11,4,0,15,0,0,0,8,82,8204,8204011001005,-73.22849000000002,-38.01413,ARAUCO,CONTULMO,11083,3.200866191464405
14,14,14,15,8,82,8204,1,1,1,4,6559,8204011001004,52,22,30,0,0,37,7,0,9,22,0,20,22,20,22,0,0,0,0,0,0,0,0,16,4,0,0,0,0,20,0,0,0,0,19,1,0,0,0,15,5,0,19,0,0,0,8,82,8204,8204011001004,-73.2272,-38.01417,ARAUCO,CONTULMO,13578,1.4007659449108854
15,15,15,16,8,82,8204,1,1,1,9,6559,8204011001009,75,38,37,5,13,47,10,0,5,23,0,22,23,23,22,0,0,0,1,0,0,0,0,21,1,0,0,0,0,22,0,0,0,0,22,0,0,0,0,21,1,0,21,0,0,0,8,82,8204,8204011001009,-73.23196999999998,-38.015390000000004,ARAUCO,CONTULMO,29166,3.1005142974696565
16,16,16,17,8,82,8204,1,1,1,11,6559,8204011001011,22,10,12,0,0,13,6,0,0,13,1,8,14,8,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,82,8204,8204011001011,-73.23059,-38.01506,ARAUCO,CONTULMO,6878,1.2006397208490842
17,17,17,18,8,82,8204,1,1,1,12,6559,8204011001012,19,12,7,0,0,14,0,0,0,8,0,6,8,6,7,0,0,0,0,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,8,82,8204,8204011001012,-73.22963,-38.01509,ARAUCO,CONTULMO,7514,0.0005057226510513708
18,18,18,19,8,82,8204,1,1,1,16,6559,8204011001016,23,15,8,0,0,17,4,0,0,16,0,10,16,11,16,0,0,0,0,0,0,0,0,6,3,0,1,0,0,10,0,0,0,0,10,0,0,0,0,6,3,1,10,0,0,0,8,82,8204,8204011001016,-73.22726,-38.015159999999995,ARAUCO,CONTULMO,11137,0.90041303762234
19,19,19,20,8,82,8204,1,1,1,10,6559,8204011001010,28,10,18,0,0,23,0,0,0,12,0,9,12,12,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,8,82,8204,8204011001010,-73.23063,-38.016,ARAUCO,CONTULMO,7422,0.0007545136081918621
20,20,20,21,8,82,8204,1,1,1,13,6559,8204011001013,25,14,11,0,0,16,6,0,4,11,0,10,11,10,11,0,0,0,0,0,0,0,0,9,1,0,0,1,0,8,1,0,0,0,10,0,0,0,0,8,2,0,9,0,0,1,8,82,8204,8204011001013,-73.22968,-38.01603,ARAUCO,CONTULMO,8077,1.2006190417234124
21,21,21,22,8,82,8204,1,1,1,46,6559,8204011001046,188,90,98,11,25,114,38,0,25,93,0,77,93,77,93,0,0,0,0,0,0,2,0,67,8,0,0,3,0,72,2,0,0,0,76,0,1,0,0,66,11,0,72,0,1,4,8,82,8204,8204011001046,-73.23470999999998,-38.02131,ARAUCO,CONTULMO,374694,9.800100348551085
22,22,22,23,8,82,8204,1,1,1,28,6559,8204011001028,35,19,16,0,0,30,0,0,4,25,0,18,25,18,25,0,0,0,0,0,0,0,0,11,7,0,0,2,0,16,0,0,0,0,18,0,0,0,0,11,7,0,18,0,0,0,8,82,8204,8204011001028,-73.23068,-38.01692,ARAUCO,CONTULMO,6654,0.0010519987977156598
23,23,23,24,8,82,8204,1,1,1,26,6559,8204011001026,37,16,21,0,0,22,10,0,0,19,0,15,19,15,19,0,0,0,0,0,0,0,0,15,0,0,0,1,0,14,0,0,0,0,15,0,0,0,0,15,0,0,15,0,0,0,8,82,8204,8204011001026,-73.22843,-38.01699,ARAUCO,CONTULMO,13826,2.0005352234919718
24,24,24,25,8,82,8204,1,1,1,29,6559,8204011001029,12,5,7,0,0,9,0,0,0,5,0,5,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,2,0,0,3,8,82,8204,8204011001029,-73.23054,-38.018370000000004,ARAUCO,CONTULMO,37378,6.420889293167103e-05
